text,category,priority
pradhan embezzled all money for road construction in Post Kakori,Rural Development (Panchayati Raj),High
long waiting line for opd registration in Raebareli Market,Health (Medical),Low
"child kidnapped from Hazratganj, Lucknow school area",Police (Home Dept),High
"open manhole on main road in Agra Fort area, heavy accident risk",Sanitation & Water (Jal Nigam/Nagar Nigam),High
bijli ka bill bahut jyada aaya hai Gonda City mein,Electricity (UPPCL),Medium
"ambulance nahi aa rahi Barabanki Town mein, patient serious hai",Health (Medical),High
meter name change application pending in Post Kakori,Electricity (UPPCL),Low
pradhan embezzled all money for road construction in Village Basrehar,Rural Development (Panchayati Raj),High
phone chori ho gaya Orai market me,Police (Home Dept),Medium
poore gaon mein light nahi hai Unnao City mein pichle 2 din se,Electricity (UPPCL),High
footpath tiles broken in some places at Unnao City,Roads (PWD/NHAI),Low
long waiting line for opd registration in Ghaziabad,Health (Medical),Low
low voltage problem in Village Basrehar during evening hours,Electricity (UPPCL),Medium
road construction incomplete in Village Basrehar,Roads (PWD/NHAI),Medium
character certificate chahiye Orai police station se,Police (Home Dept),Low
" मच्छर बहुत हो गए हैं Raebareli Market में, फॉगिंग करवाओ",Sanitation & Water (Jal Nigam/Nagar Nigam),Low
meter name change application pending in Gonda City,Electricity (UPPCL),Low
bijli ka bill bahut jyada aaya hai Bareilly Cantt mein,Electricity (UPPCL),Medium
handpump kharab hai Noida Sector 18 mein,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
need a sign board direction for Village Basrehar village,Roads (PWD/NHAI),Low
pradhan ne paisa kha liya Block Malihabad road ka,Rural Development (Panchayati Raj),High
park needs cleaning in Tehsil Bikapur residential area,Sanitation & Water (Jal Nigam/Nagar Nigam),Low
street light pole looking tilted in Remote area of Sonbhadra,Electricity (UPPCL),Low
solar panel subsidy ki jankari chahiye Faizabad Chowk ke liye,Electricity (UPPCL),Low
"mobile phone snatched while walking in Hazratganj, Lucknow",Police (Home Dept),Medium
"road caved in due to heavy rain in Etawah Main, traffic blocked",Roads (PWD/NHAI),High
sadak toot gayi hai Village Basrehar mein,Roads (PWD/NHAI),Medium
general query about filing fir online for Noida Sector 18 resident,Police (Home Dept),Low
"encroachment by shopkeepers on road in Hazratganj, Lucknow",Roads (PWD/NHAI),Medium
sadak toot gayi hai Bareilly Cantt mein,Roads (PWD/NHAI),Medium
dogs roaming inside the ward at Post Kakori chc,Health (Medical),Medium
"road caved in due to heavy rain in Tehsil Bikapur, traffic blocked",Roads (PWD/NHAI),High
footpath tiles broken in some places at Raebareli Market,Roads (PWD/NHAI),Low
"fake medicine racket operating in Hazratganj, Lucknow medical stores",Health (Medical),High
long waiting line for opd registration in Gonda City,Health (Medical),Low
bijli ka bill bahut jyada aaya hai Meerut City mein,Electricity (UPPCL),Medium
traffic police asking for bribe at Mau Tehsil crossing,Police (Home Dept),Medium
dogs roaming inside the ward at Prayagraj City chc,Health (Medical),Medium
bridge railing toot gayi hai Village Chhata mein,Roads (PWD/NHAI),High
long waiting line for opd registration in Post Kakori,Health (Medical),Low
kachra uthane vali gaadi nahi aayi Unnao City mein,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
character certificate chahiye Prayagraj City police station se,Police (Home Dept),Low
"primary school roof is leaking in Remote area of Sonbhadra, dangerous for kids",Rural Development (Panchayati Raj),Medium
"Tehsil Bikapur me transformer jal gaya hai, turant change karein",Electricity (UPPCL),High
doctor late aate hain Village Rampur hospital mein,Health (Medical),Medium
"sewage water mixing with drinking water in Basti, kids falling sick",Sanitation & Water (Jal Nigam/Nagar Nigam),High
need a sign board direction for Unnao City village,Roads (PWD/NHAI),Low
"open manhole on main road in Hazratganj, Lucknow, heavy accident risk",Sanitation & Water (Jal Nigam/Nagar Nigam),High
need a sign board direction for Ghaziabad village,Roads (PWD/NHAI),Low
sadak par bada gadda hai Agra Fort area market ke paas,Roads (PWD/NHAI),High
sadak par bada gadda hai Village Basrehar market ke paas,Roads (PWD/NHAI),High
huge crater in middle of road at Basti causing accidents daily,Roads (PWD/NHAI),High
" मच्छर बहुत हो गए हैं Village Chhata में, फॉगिंग करवाओ",Sanitation & Water (Jal Nigam/Nagar Nigam),Low
" मच्छर बहुत हो गए हैं Basti में, फॉगिंग करवाओ",Sanitation & Water (Jal Nigam/Nagar Nigam),Low
"Basti me transformer jal gaya hai, turant change karein",Electricity (UPPCL),High
street light pole looking tilted in Prayagraj City,Electricity (UPPCL),Low
potholes needs repair in Agra Fort area before monsoon,Roads (PWD/NHAI),Medium
dogs roaming inside the ward at Ghaziabad chc,Health (Medical),Medium
character certificate chahiye Gonda City police station se,Police (Home Dept),Low
"bijli ka bill bahut jyada aaya hai Hazratganj, Lucknow mein",Electricity (UPPCL),Medium
"sewage water mixing with drinking water in Agra Fort area, kids falling sick",Sanitation & Water (Jal Nigam/Nagar Nigam),High
stray cattle destroying crops in Mau Tehsil farms,Rural Development (Panchayati Raj),Medium
"sewage water mixing with drinking water in Sigra, Varanasi, kids falling sick",Sanitation & Water (Jal Nigam/Nagar Nigam),High
sadak par bada gadda hai Hardoi City market ke paas,Roads (PWD/NHAI),High
handpump kharab hai Tehsil Bikapur mein,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
water pipeline leakage wasting water in Gonda City,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
footpath tiles broken in some places at Raebareli Market,Roads (PWD/NHAI),Low
"sewage water mixing with drinking water in Noida Sector 18, kids falling sick",Sanitation & Water (Jal Nigam/Nagar Nigam),High
zebra crossing repaint kara do Faizabad Chowk chowk par,Roads (PWD/NHAI),Low
encroachment by shopkeepers on road in Village Basrehar,Roads (PWD/NHAI),Medium
vaccine kab lagega Basti center par?,Health (Medical),Low
village pond is being encroached by builder in Village Chhata,Rural Development (Panchayati Raj),Medium
doctor refused to treat critical patient in Basti phc,Health (Medical),High
bridge railing toot gayi hai Village Basrehar mein,Roads (PWD/NHAI),High
general query about filing fir online for Tehsil Bikapur resident,Police (Home Dept),Low
"open manhole on main road in Post Kakori, heavy accident risk",Sanitation & Water (Jal Nigam/Nagar Nigam),High
phone chori ho gaya Block Malihabad market me,Police (Home Dept),Medium
fake medicine racket operating in Raebareli Market medical stores,Health (Medical),High
need a sign board direction for Sitapur One village,Roads (PWD/NHAI),Low
bijli ka bill bahut jyada aaya hai Remote area of Sonbhadra mein,Electricity (UPPCL),Medium
talaab par kabza ho raha hai Gram Kachhona gaon mein,Rural Development (Panchayati Raj),Medium
park needs cleaning in Village Basrehar residential area,Sanitation & Water (Jal Nigam/Nagar Nigam),Low
child kidnapped from Mau Tehsil school area,Police (Home Dept),High
need a sign board direction for Orai village,Roads (PWD/NHAI),Low
need a sign board direction for Village Chhata village,Roads (PWD/NHAI),Low
"flood water entered village houses in Mau Tehsil, need rescue",Rural Development (Panchayati Raj),High
pradhan ne paisa kha liya Tehsil Bikapur road ka,Rural Development (Panchayati Raj),High
"primary school roof is leaking in Gram Kachhona, dangerous for kids",Rural Development (Panchayati Raj),Medium
pradhan ne paisa kha liya Tehsil Bikapur road ka,Rural Development (Panchayati Raj),High
pradhan ne paisa kha liya Remote area of Sonbhadra road ka,Rural Development (Panchayati Raj),High
pradhan ne paisa kha liya Gram Panchayat Bojhi road ka,Rural Development (Panchayati Raj),High
zebra crossing repaint kara do Prayagraj City chowk par,Roads (PWD/NHAI),Low
village pond is being encroached by builder in Tehsil Bikapur,Rural Development (Panchayati Raj),Medium
unhygienic toilets in the Post Kakori government hospital,Health (Medical),Medium
"open manhole on main road in Sigra, Varanasi, heavy accident risk",Sanitation & Water (Jal Nigam/Nagar Nigam),High
mobile phone snatched while walking in Etawah Main,Police (Home Dept),Medium
pradhan embezzled all money for road construction in Village Chhata,Rural Development (Panchayati Raj),High
potholes needs repair in Prayagraj City before monsoon,Roads (PWD/NHAI),Medium
library books request for Gram Panchayat Bojhi village school,Rural Development (Panchayati Raj),Low
"zebra crossing repaint kara do Gomti Nagar, Lucknow chowk par",Roads (PWD/NHAI),Low
potholes needs repair in Gram Kachhona before monsoon,Roads (PWD/NHAI),Medium
"ambulance nahi aa rahi Mau Tehsil mein, patient serious hai",Health (Medical),High
character certificate chahiye Mau Tehsil police station se,Police (Home Dept),Low
encroachment by shopkeepers on road in Unnao City,Roads (PWD/NHAI),Medium
oxygen cylinder available nahi hai Village Basrehar hospital me,Health (Medical),High
street light pole looking tilted in Hardoi City,Electricity (UPPCL),Low
character certificate chahiye Village Basrehar police station se,Police (Home Dept),Low
"sadak par bada gadda hai Hazratganj, Lucknow market ke paas",Roads (PWD/NHAI),High
armed robbery in shop at Village Rampur market last night,Police (Home Dept),High
water pipeline leakage wasting water in Gram Kachhona,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
"sewage water mixing with drinking water in Block Malihabad, kids falling sick",Sanitation & Water (Jal Nigam/Nagar Nigam),High
armed robbery in shop at Village Rampur market last night,Police (Home Dept),High
child kidnapped from Remote area of Sonbhadra school area,Police (Home Dept),High
need a sign board direction for Block Malihabad village,Roads (PWD/NHAI),Low
armed robbery in shop at Ghaziabad market last night,Police (Home Dept),High
loudspeaker shor kar raha hai Barabanki Town mein raat ko,Police (Home Dept),Medium
meter reading galat hai Meerut City wale ghar ki,Electricity (UPPCL),Medium
library books request for Mau Tehsil village school,Rural Development (Panchayati Raj),Low
need a sign board direction for Post Kakori village,Roads (PWD/NHAI),Low
vaccine kab lagega Gram Panchayat Bojhi center par?,Health (Medical),Low
low voltage problem in Orai during evening hours,Electricity (UPPCL),Medium
dogs roaming inside the ward at Barabanki Town chc,Health (Medical),Medium
x-ray machine kharab hai Agra Fort area mein,Health (Medical),Medium
kachra uthane vali gaadi nahi aayi Block Malihabad mein,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
unhygienic toilets in the Basti government hospital,Health (Medical),Medium
low voltage problem in Orai during evening hours,Electricity (UPPCL),Medium
"primary school roof is leaking in Village Basrehar, dangerous for kids",Rural Development (Panchayati Raj),Medium
ladayi ho rahi hai Gram Kachhona chourahe par,Police (Home Dept),High
"Village Rampur me transformer jal gaya hai, turant change karein",Electricity (UPPCL),High
unhygienic toilets in the Orai government hospital,Health (Medical),Medium
pradhan ne paisa kha liya Village Rampur road ka,Rural Development (Panchayati Raj),High
footpath tiles broken in some places at Etawah Main,Roads (PWD/NHAI),Low
"road caved in due to heavy rain in Remote area of Sonbhadra, traffic blocked",Roads (PWD/NHAI),High
mobile phone snatched while walking in Remote area of Sonbhadra,Police (Home Dept),Medium
" मच्छर बहुत हो गए हैं Orai में, फॉगिंग करवाओ",Sanitation & Water (Jal Nigam/Nagar Nigam),Low
phone chori ho gaya Raebareli Market market me,Police (Home Dept),Medium
birth certificate spelling correction request at Block Malihabad,Health (Medical),Low
street light pole looking tilted in Village Basrehar,Electricity (UPPCL),Low
stray cattle destroying crops in Gram Panchayat Bojhi farms,Rural Development (Panchayati Raj),Medium
handpump kharab hai Unnao City mein,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
street light pole looking tilted in Ghaziabad,Electricity (UPPCL),Low
" मच्छर बहुत हो गए हैं Remote area of Sonbhadra में, फॉगिंग करवाओ",Sanitation & Water (Jal Nigam/Nagar Nigam),Low
internet nahi chal raha Post Kakori panchayat bhavan me,Rural Development (Panchayati Raj),Low
solar panel subsidy ki jankari chahiye Hardoi City ke liye,Electricity (UPPCL),Low
internet nahi chal raha Village Chhata panchayat bhavan me,Rural Development (Panchayati Raj),Low
"phone chori ho gaya Hazratganj, Lucknow market me",Police (Home Dept),Medium
transformer caught fire in Orai and oil is leaking,Electricity (UPPCL),High
traffic police asking for bribe at Block Malihabad crossing,Police (Home Dept),Medium
fake medicine racket operating in Gonda City medical stores,Health (Medical),High
dogs roaming inside the ward at Faizabad Chowk chc,Health (Medical),Medium
"road caved in due to heavy rain in Gram Kachhona, traffic blocked",Roads (PWD/NHAI),High
"phone chori ho gaya Hazratganj, Lucknow market me",Police (Home Dept),Medium
armed robbery in shop at Agra Fort area market last night,Police (Home Dept),High
sadak toot gayi hai Post Kakori mein,Roads (PWD/NHAI),Medium
road construction incomplete in Mau Tehsil,Roads (PWD/NHAI),Medium
mnrega ka paisa nahi mila Village Basrehar mein,Rural Development (Panchayati Raj),High
"road caved in due to heavy rain in Hazratganj, Lucknow, traffic blocked",Roads (PWD/NHAI),High
loudspeaker shor kar raha hai Meerut City mein raat ko,Police (Home Dept),Medium
